date,open,high,low,close,3Ema,5Ema,Reversal,transaction,IntraDayExit,tradeNo,profit
2019-07-17,30705.8,30769.35,30378.6,30430.6,30538.68,30576.67,30658.57308790405,Sell,Buy,541,29.70
2019-07-18,30515.1,30543.75,29705.75,29770.35,30154.51,30307.90,30690.65716298949,X,-,541,0
2019-07-21,29617.05,29635.15,29194.1,29284.95,29719.73,29966.91,30768.05066085307,X,-,541,0
2019-07-22,29342.45,29365.8,29078.15,29128.1,29423.92,29687.31,30708.465049998747,X,-,541,0
2019-07-23,29085.45,29252.4,28871.0,28952.25,29188.08,29442.29,30477.492338047537,X,-,541,0
2019-07-24,28981.05,29240.8,28931.05,29043.05,29115.57,29309.21,30204.911044389213,X,-,541,0
2019-07-25,29062.5,29379.1,28994.5,29325.3,29220.43,29314.57,29890.1404391049,X,-,541,0
2019-07-28,29583.45,29592.95,29104.85,29295.9,29258.17,29308.35,29596.993497492644,X,-,541,0
2019-07-29,29434.85,29530.3,28737.8,28791.6,29024.88,29136.10,29458.895600706455,Sell,Buy,542,971.70
2019-07-30,28575.45,28979.75,28529.75,28876.0,28950.44,29049.40,29469.74703499333,X,-,542,0
2019-07-31,28660.5,28819.7,28047.35,28367.25,28658.85,28822.02,29346.273007256736,X,-,542,0
2019-08-01,28224.25,28544.55,27936.35,28204.95,28431.90,28616.33,29311.52783013509,X,-,542,0
2019-08-04,27841.2,27866.55,27389.5,27648.05,28039.97,28293.57,29169.616466072024,X,-,542,0
2019-08-05,27518.5,28148.4,27503.9,28022.1,28031.04,28203.08,29054.351600372334,X,-,542,0
2019-08-06,28053.85,28175.55,27641.85,27702.05,27866.54,28036.07,28719.204711743718,X,-,542,0
2019-08-07,27840.1,28227.55,27531.05,28110.45,27988.50,28060.86,28544.646630243573,X,-,542,0
2019-08-08,28293.65,28602.75,28251.75,28431.9,28210.20,28184.54,28277.961164702923,Buy,Buy,543,497.95
2019-08-12,28356.8,28358.85,27683.5,27729.1,27969.65,28032.73,28107.572482072224,Sell,Sell,544,-324.33
2019-08-13,27885.5,28107.05,27726.65,28019.2,27994.42,28028.22,28221.964174183304,X,-,544,0
2019-08-15,27920.3,28251.05,27720.95,28217.0,28105.71,28091.15,28129.600709189777,Buy,Buy,545,-400.50
2019-08-18,28331.25,28468.9,28146.5,28186.1,28145.91,28122.80,28047.446102660295,X,-,545,0
2019-08-19,28163.55,28215.4,27839.65,27982.45,28064.18,28076.01,28053.470216707094,Sell,Sell,546,-163.53
2019-08-20,28021.0,28098.9,27666.2,27719.05,27891.61,27957.03,28111.524885271516,X,-,546,0
2019-08-21,27690.05,27690.05,26975.55,27034.2,27462.91,27649.42,28153.2639605811,X,-,546,0
2019-08-22,26835.35,27207.3,26560.6,26958.65,27210.78,27419.16,28208.949658920756,X,-,546,0
2019-08-25,27663.95,27995.25,26859.35,27951.35,27581.06,27596.56,28044.311615213854,X,-,546,0
2019-08-26,28106.3,28277.7,27960.8,28126.15,27853.61,27773.09,27643.038664775915,Buy,Buy,547,-123.85
2019-08-27,28080.25,28095.55,27634.65,27804.3,27828.95,27783.49,27531.53290383397,X,-,547,0
